===== BCER (31) =====
ENCHeatGalConBustedStart | TITLE: 'Busted' | DESC: "They haul you before a Galilean Confederacy tribunal for judgement, leaving your ship and gear behind.\n\nAt the hearing, you can beg for just a fine- $15,000 payable in full or installments- or it's off to Port Mojave Brig for a year or three of hard labor."
PSPAIAICrimeHQCHLEOArrestStolenShipAdd | TITLE: 'Adds HQCH LEO Arrest pledge to us because the player stole a ship.' | DESC: '[us] [gains] HQCH LEO Arrest for Stolen Ship pledge.'
PSPAIAICrimeHQCHLEOThreatAdd | TITLE: 'Adds HQCH LEO Threat pledge to us' | DESC: '[us] [gains] HQCH LEO Threat pledge.'

===== JATL (31) =====
ENCHeatJATLBustedStart | TITLE: 'Busted' | DESC: "They haul you before an Atlantean magistrate for judgement, leaving your ship and gear behind.\n\nAt the hearing, you can beg for just a fine- $15,000 payable in full or installments- or it's off to Atlantis Brig for a year or three of hard labor."
ENCHeatJATLFineEnd | TITLE: 'Plead for a fine (Lump Sum)' | DESC: "It's almost like they want you to break the rules so they can extract more fines from you.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 fine added."
ENCHeatJATLFineDebtEnd | TITLE: 'Plead for a fine (Paid in installments)' | DESC: "It's almost like they want you to break the rules so they can lock you deeper in interest payments.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 debt added, with payment due each shift."
ENCHeatJATLFineFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Atlantis Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
ENCHeatJATLPrisonStart | TITLE: 'Off to Atlantis Brig' | DESC: 'You are hauled off to Atlantis Brig.'
ENCHeatJATLPrisonEnd | TITLE: 'Serve Hard Time' | DESC: "You spend months laboring without wage among outcasts both meek and dangerous. You share a dorm with nearly a hundred other souls, all of you stacked like kindling on triple high bunks.\n\nBut even a hell like this is not without opportunity. You hear things. You meet people. You get in a few scrapes, you find a few friends. By the end of your term you've lived a dozen lives and you have all the scars to prove it.\n\nPlus, free room and board. In a certain light, it might all be worth it ...\n\n"
ENCHeatJATLPrisonFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Atlantis Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
PLGAICrimeJATLLEOArrest | TITLE: 'JATL LEO Begins Arresting Criminal' | DESC: '"Suspect spotted," [us] [says], looking at [them].'
PLGAICrimeJATLLEOInterruptSelf | TITLE: 'JATL LEO Is Interrupted by Crime' | DESC: 'Interrupt them.'
PLGAICrimeJATLLEOArrestDo | TITLE: 'Arresting Criminal' | DESC: '"Stop right there! You\'re under arrest!" [us] [shouts] at [them].'
PLGAICrimeJATLLEOArrestDoAllow | TITLE: 'Surrender to Officer' | DESC: '[us] [goes] along peacefully with [them].'
PLGAICrimeJATLLEOArrestDoDeny | TITLE: 'Plead Innocence' | DESC: '[us] [tells] [them] [them-subj] [has] the wrong person.'
PLGAICrimeJATLLEOArrestEnd | TITLE: 'JATL LEO Done Arresting Criminal' | DESC: '"Another win for the law," [us] [says].'
PLGAICrimeJATLLEOArrestEndAI | TITLE: 'Getting Arrested' | DESC: 'Shim interaction to test us = AI character before continuing.'
PLGAICrimeJATLLEOArrestEndPlayer | TITLE: 'Criminal Arrested (Player)' | DESC: 'LEO finishes subduing Player threat.'
PLGAICrimeJATLLEOThreat | TITLE: 'JATL LEO Attacking Criminal' | DESC: '"Hey, it\'s that criminal! Get \'em!" [us-shouts] [us], pointing towards [them].'
PLGAICrimeJATLLEOArrestStolenShip | TITLE: 'JATL LEO Begins Arresting Criminal for Stealing a Ship' | DESC: '"You\'ve been reported as flying a stolen ship," [us] [says], looking at [them]."We\'re bringing you in."'
PLGAIReportCrimeJATLArrest | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeJATLArrestAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeJATLArrestDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeJATLTrespass | TITLE: 'Report Crime' | DESC: '[us] [says] "Get out of here," then speaks into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeJATLTrespassAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeJATLTrespassDeny | TITLE: 'Report Crime: Fail' | DESC: '[us] [fails] to report a crime on [them].'
PLGAIReportCrimeJATLTrespassDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeJATLTrespassNPCDone | TITLE: 'Cancel Reporting Crime' | DESC: '[us] [is] no longer going to report crime.'
PLGAIReportCrimeJATLThreat | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeJATLThreatAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeJATLThreatDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PSPAIAICrimeJATLLEOArrestAdd | TITLE: 'Adds JATL LEO Arrest pledge to us' | DESC: '[us] [gains] JATL LEO Arrest pledge.'
PSPAIAICrimeJATLLEOArrestStolenShipAdd | TITLE: 'Adds JATL LEO Arrest pledge to us because the player stole a ship.' | DESC: '[us] [gains] JATL LEO Arrest for Stolen Ship pledge.'
PSPAIAICrimeJATLLEOThreatAdd | TITLE: 'Adds JATL LEO Threat pledge to us' | DESC: '[us] [gains] JATL LEO Threat pledge.'

===== JFTS (31) =====
ENCHeatJFTSBustedStart | TITLE: 'Busted' | DESC: "They haul you before a Galilean Confederacy tribunal for judgement, leaving your ship and gear behind.\n\nAt the hearing, you can beg for just a fine- $15,000 payable in full or installments- or it's off to Fort Simpson Brig for a year or three of hard labor."
ENCHeatJFTSFineEnd | TITLE: 'Plead for a fine (Lump Sum)' | DESC: "It's almost like they want you to break the rules so they can extract more fines from you.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 fine added."
ENCHeatJFTSFineDebtEnd | TITLE: 'Plead for a fine (Paid in installments)' | DESC: "It's almost like they want you to break the rules so they can lock you deeper in interest payments.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 debt added, with payment due each shift."
ENCHeatJFTSFineFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Fort Simpson Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
ENCHeatJFTSPrisonStart | TITLE: 'Off to Fort Simpson Brig' | DESC: 'You are hauled off to Fort Simpson Brig.'
ENCHeatJFTSPrisonEnd | TITLE: 'Serve Hard Time' | DESC: "You spend months laboring without wage among outcasts both meek and dangerous. You share a dorm with nearly a hundred other souls, all of you stacked like kindling on triple high bunks.\n\nBut even a hell like this is not without opportunity. You hear things. You meet people. You get in a few scrapes, you find a few friends. By the end of your term you've lived a dozen lives and you have all the scars to prove it.\n\nPlus, free room and board. In a certain light, it might all be worth it ...\n\n"
ENCHeatJFTSPrisonFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Fort Simpson Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
PLGAICrimeJFTSLEOArrest | TITLE: 'JFTS LEO Begins Arresting Criminal' | DESC: '"Suspect spotted," [us] [says], looking at [them].'
PLGAICrimeJFTSLEOInterruptSelf | TITLE: 'JFTS LEO Is Interrupted by Crime' | DESC: 'Interrupt them.'
PLGAICrimeJFTSLEOArrestDo | TITLE: 'Arresting Criminal' | DESC: '"Stop right there! You\'re under arrest!" [us] [shouts] at [them].'
PLGAICrimeJFTSLEOArrestDoAllow | TITLE: 'Surrender to Officer' | DESC: '[us] [goes] along peacefully with [them].'
PLGAICrimeJFTSLEOArrestDoDeny | TITLE: 'Plead Innocence' | DESC: '[us] [tells] [them] [them-subj] [has] the wrong person.'
PLGAICrimeJFTSLEOArrestEnd | TITLE: 'JFTS LEO Done Arresting Criminal' | DESC: '"Another win for the law," [us] [says].'
PLGAICrimeJFTSLEOArrestEndAI | TITLE: 'Getting Arrested' | DESC: 'Shim interaction to test us = AI character before continuing.'
PLGAICrimeJFTSLEOArrestEndPlayer | TITLE: 'Criminal Arrested (Player)' | DESC: 'LEO finishes subduing Player threat.'
PLGAICrimeJFTSLEOThreat | TITLE: 'JFTS LEO Attacking Criminal' | DESC: '"Hey, it\'s that criminal! Get \'em!" [us-shouts] [us], pointing towards [them].'
PLGAICrimeJFTSLEOArrestStolenShip | TITLE: 'JFTS LEO Begins Arresting Criminal for Stealing a Ship' | DESC: '"You\'ve been reported as flying a stolen ship," [us] [says], looking at [them]."We\'re bringing you in."'
PLGAIReportCrimeJFTSArrest | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeJFTSArrestAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeJFTSArrestDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeJFTSTrespass | TITLE: 'Report Crime' | DESC: '[us] [says] "Get out of here," then speaks into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeJFTSTrespassAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeJFTSTrespassDeny | TITLE: 'Report Crime: Fail' | DESC: '[us] [fails] to report a crime on [them].'
PLGAIReportCrimeJFTSTrespassDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeJFTSTrespassNPCDone | TITLE: 'Cancel Reporting Crime' | DESC: '[us] [is] no longer going to report crime.'
PLGAIReportCrimeJFTSThreat | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeJFTSThreatAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeJFTSThreatDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PSPAIAICrimeJFTSLEOArrestAdd | TITLE: 'Adds JFTS LEO Arrest pledge to us' | DESC: '[us] [gains] JFTS LEO Arrest pledge.'
PSPAIAICrimeJFTSLEOArrestStolenShipAdd | TITLE: 'Adds JFTS LEO Arrest pledge to us because the player stole a ship.' | DESC: '[us] [gains] JFTS LEO Arrest for Stolen Ship pledge.'
PSPAIAICrimeJFTSLEOThreatAdd | TITLE: 'Adds JFTS LEO Threat pledge to us' | DESC: '[us] [gains] JFTS LEO Threat pledge.'

===== MHNG (31) =====
ENCHeatMHNGBustedStart | TITLE: 'Busted' | DESC: "They haul you before a Hangzhou magistrate for judgement, leaving your ship and gear behind.\n\nAt the hearing, you can beg for just a fine- $15,000 payable in full or installments- or it's off to Tharsis Landing Brig for a year or three of hard labor."
ENCHeatMHNGFineEnd | TITLE: 'Plead for a fine (Lump Sum)' | DESC: "It's almost like they want you to break the rules so they can extract more fines from you.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 fine added."
ENCHeatMHNGFineDebtEnd | TITLE: 'Plead for a fine (Paid in installments)' | DESC: "It's almost like they want you to break the rules so they can lock you deeper in interest payments.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 debt added, with payment due each shift."
